"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"2","0610007P14Rik",768.043392731908,0.0588000508855231,0.158485621432937,0.371031436047384,0.710614117630114,0.869484569411951
"3","0610009B22Rik",284.701288439655,-0.0243759650443903,0.153162604825697,-0.159152035230382,0.873549092441484,0.950127190822016
"4","0610009L18Rik",15.619444304968,0.154146046252012,0.252338877919839,0.6119299263995,0.540584120678258,0.772998449473271
"5","0610009O20Rik",1203.26180351952,0.135746950531569,0.10817560293872,1.25489539762653,0.209516734965012,0.480023681783713
"6","0610010B08Rik",353.219340558673,-0.65108804364401,0.242218465304516,-2.6915852070032,0.00711133300570707,0.0593877733453705
"7","0610010F05Rik",812.402982794999,-0.054269476248512,0.134017451921256,-0.404920708910835,0.6855357955482,0.857221329086207
"8","0610010K14Rik",875.057786161353,0.394501455933148,0.141944965888619,2.7792737321355,0.00544805939805037,0.0495466538161544
"9","0610011F06Rik",303.230516257021,0.409610480939866,0.175716652878066,2.33122510750664,0.0197414928903759,0.116069368563915
"10","0610012G03Rik",360.872788336773,0.492315729095115,0.152660245660192,3.22464899060921,0.0012612720762255,0.0178867065921016
"11","0610030E20Rik",979.269158144912,-0.0968661946815307,0.110599747118564,-0.875810997319764,0.381132790535528,0.654743962164473
"13","0610037L13Rik",571.387873183292,0.053721769733346,0.12171897861334,0.441364719436423,0.658948979306229,0.842231708842043
"14","0610038B21Rik",6.4833633400487,0.210542448727169,0.213020766046012,0.996181771450503,0.319161834570896,0.59757773653426
"17","0610040B10Rik",19.5589416595808,0.149291006207991,0.255792254186829,0.583748441594727,0.559389570902769,0.785563581884458
"19","0610040J01Rik",54.1301229271918,-0.018999511760358,0.243136204362882,-0.0780943493798304,0.937753002010272,0.975589252736675
"21","1010001N08Rik",30.8700774815103,-0.169857853528368,0.255823707117668,-0.665605128499945,0.505663527506133,0.751551925015422
"22","1110001J03Rik",154.155820418331,0.484799326990369,0.206419555770965,2.34876403027337,0.0188358395853673,0.112709568184969
"23","1110002L01Rik",472.432735615692,-0.220148145078565,0.143993155634909,-1.52866142704259,0.126348399392719,0.362320180696291
"24","1110004E09Rik",354.649128934,0.104212258110093,0.165015965305019,0.631548568830022,0.527681902838716,0.763911229883351
"25","1110004F10Rik",2429.92170322074,-0.0810071422868999,0.101554950706911,-0.797675125559894,0.425059042337502,0.690591311386568
"26","1110006O24Rik",19.5423874847129,0.323966695393969,0.25562884764177,1.26835359203356,0.204671706599925,0.474255121825792
"27","1110007C09Rik",122.541696288476,0.125548631622341,0.208740563423627,0.601565164500702,0.547463622922204,0.777585783092076
